点号,相对时间(微秒),  1:母线电压Ua(V),  2:母线电压Ub(V),  3:母线电压Uc(V),  4:母线零序电压3Uo(V),  5:降压变高压侧电流Ia(A),  6:降压变高压侧电流Ib(A),  7:降压变高压侧电流Ic(A),  8:降压变高压侧电流3Io(A)
1,-100000.000,-86.014000,56.155000,34.663000,2.754000,-0.086000,-0.277000,0.363000,0.000000
2,-99900.000,-86.574000,54.008000,37.705000,2.972000,-0.069000,-0.302000,0.363000,0.002000
3,-99800.000,-86.940000,51.760000,40.700000,3.151000,-0.026000,-0.320000,0.345000,-0.002000
4,-99700.000,-87.033000,49.426000,43.648000,3.446000,0.000000,-0.346000,0.328000,0.000000
5,-99600.000,-86.901000,46.983000,46.488000,3.750000,0.026000,-0.354000,0.320000,-0.002000
6,-99500.000,-86.621000,44.346000,49.109000,3.897000,0.069000,-0.380000,0.302000,0.000000
7,-99400.000,-86.130000,41.639000,51.591000,4.061000,0.104000,-0.397000,0.285000,-0.002000
8,-99300.000,-85.430000,38.847000,53.924000,4.185000,0.130000,-0.389000,0.268000,-0.002000
9,-99200.000,-84.481000,36.109000,56.149000,4.419000,0.156000,-0.397000,0.233000,0.000000
10,-99100.000,-83.383000,33.332000,58.242000,4.675000,0.173000,-0.389000,0.216000,0.002000
11,-99000.000,-82.263000,30.500000,60.109000,4.753000,0.181000,-0.397000,0.216000,0.000000
12,-98900.000,-81.057000,27.692000,61.867000,4.854000,0.181000,-0.397000,0.207000,0.000000
13,-98800.000,-79.811000,24.954000,63.563000,4.971000,0.199000,-0.389000,0.190000,0.002000
14,-98700.000,-78.512000,22.317000,65.251000,5.150000,0.181000,-0.363000,0.199000,0.000000
15,-98600.000,-77.251000,19.758000,66.869000,5.337000,0.181000,-0.354000,0.181000,-0.002000
16,-98500.000,-76.092000,17.207000,68.378000,5.407000,0.173000,-0.354000,0.173000,0.002000
17,-98400.000,-74.971000,14.741000,69.864000,5.500000,0.164000,-0.346000,0.173000,0.000000
18,-98300.000,-73.889000,12.353000,71.381000,5.601000,0.164000,-0.328000,0.164000,0.002000
19,-98200.000,-72.808000,10.073000,72.882000,5.780000,0.147000,-0.320000,0.164000,0.002000
20,-98100.000,-71.773000,7.794000,74.352000,5.912000,0.147000,-0.320000,0.173000,-0.002000
21,-98000.000,-70.777000,5.531000,75.776000,6.013000,0.138000,-0.320000,0.164000,0.000000
22,-97900.000,-69.765000,3.267000,77.184000,6.091000,0.147000,-0.311000,0.164000,0.000000
23,-97800.000,-68.722000,1.011000,78.607000,6.216000,0.164000,-0.311000,0.173000,-0.002000
24,-97700.000,-67.578000,-1.260000,80.008000,6.371000,0.156000,-0.320000,0.155000,0.000000
25,-97600.000,-66.411000,-3.578000,81.330000,6.472000,0.173000,-0.328000,0.147000,0.002000
26,-97500.000,-65.174000,-5.966000,82.598000,6.527000,0.190000,-0.337000,0.147000,0.000000
27,-97400.000,-63.796000,-8.378000,83.866000,6.667000,0.190000,-0.337000,0.138000,-0.002000
28,-97300.000,-62.325000,-10.859000,85.087000,6.776000,0.216000,-0.337000,0.130000,0.000000
29,-97200.000,-60.746000,-13.465000,86.215000,6.838000,0.225000,-0.363000,0.130000,0.002000
30,-97100.000,-59.057000,-16.133000,87.343000,6.916000,0.251000,-0.372000,0.121000,0.000000
31,-97000.000,-57.236000,-18.902000,88.424000,6.994000,0.259000,-0.397000,0.121000,0.000000
32,-96900.000,-55.252000,-21.695000,89.467000,7.126000,0.285000,-0.389000,0.104000,0.000000
33,-96800.000,-53.158000,-24.557000,90.400000,7.211000,0.294000,-0.380000,0.095000,0.000000
34,-96700.000,-50.964000,-27.482000,91.186000,7.243000,0.302000,-0.397000,0.078000,0.000000
35,-96600.000,-48.660000,-30.407000,91.824000,7.250000,0.337000,-0.406000,0.060000,0.000000
36,-96500.000,-46.186000,-33.285000,92.337000,7.313000,0.354000,-0.380000,0.035000,0.002000
37,-96400.000,-43.555000,-36.085000,92.656000,7.375000,0.371000,-0.372000,0.000000,-0.002000
38,-96300.000,-40.832000,-38.847000,92.719000,7.390000,0.380000,-0.372000,-0.017000,0.000000
39,-96200.000,-38.046000,-41.569000,92.532000,7.344000,0.406000,-0.346000,-0.052000,0.002000
40,-96100.000,-35.198000,-44.183000,92.120000,7.227000,0.389000,-0.337000,-0.078000,0.000000
41,-96000.000,-32.233000,-46.595000,91.552000,7.243000,0.406000,-0.320000,-0.095000,0.000000
42,-95900.000,-29.252000,-48.843000,90.844000,7.243000,0.406000,-0.294000,-0.112000,0.002000
43,-95800.000,-26.342000,-50.966000,89.941000,7.180000,0.389000,-0.277000,-0.138000,-0.002000
44,-95700.000,-23.509000,-52.973000,88.907000,7.064000,0.397000,-0.251000,-0.155000,0.000000
45,-95600.000,-20.770000,-54.894000,87.794000,6.885000,0.389000,-0.233000,-0.147000,0.000000
46,-95500.000,-18.054000,-56.582000,86.713000,6.869000,0.389000,-0.225000,-0.147000,0.000000
47,-95400.000,-15.455000,-58.177000,85.678000,6.823000,0.354000,-0.207000,-0.147000,-0.002000
48,-95300.000,-12.996000,-59.717000,84.644000,6.768000,0.346000,-0.199000,-0.147000,0.000000
49,-95200.000,-10.677000,-61.242000,83.609000,6.636000,0.328000,-0.199000,-0.147000,0.000000
50,-95100.000,-8.443000,-62.704000,82.606000,6.465000,0.320000,-0.190000,-0.130000,0.000000
51,-95000.000,-6.241000,-64.073000,81.727000,6.488000,0.302000,-0.181000,-0.121000,0.002000
52,-94900.000,-4.078000,-65.388000,80.894000,6.465000,0.294000,-0.190000,-0.112000,0.000000
53,-94800.000,-1.961000,-66.734000,80.000000,6.410000,0.294000,-0.164000,-0.121000,-0.002000
54,-94700.000,0.093000,-68.072000,79.027000,6.278000,0.302000,-0.173000,-0.121000,0.002000
55,-94600.000,2.195000,-69.402000,78.047000,6.138000,0.311000,-0.181000,-0.121000,0.002000
56,-94500.000,4.412000,-70.646000,77.036000,6.115000,0.311000,-0.173000,-0.147000,0.000000
57,-94400.000,6.692000,-71.883000,75.908000,6.068000,0.320000,-0.181000,-0.155000,0.002000
58,-94300.000,9.043000,-73.143000,74.640000,5.975000,0.328000,-0.164000,-0.173000,0.000000
59,-94200.000,11.416000,-74.419000,73.224000,5.803000,0.346000,-0.173000,-0.181000,0.000000
60,-94100.000,13.899000,-75.633000,71.707000,5.656000,0.363000,-0.164000,-0.207000,0.000000
