点号,相对时间(微秒),  1:母线电压Ua(V),  2:母线电压Ub(V),  3:母线电压Uc(V),  4:母线零序电压3Uo(V),  5:降压变高压侧电流Ia(A),  6:降压变高压侧电流Ib(A),  7:降压变高压侧电流Ic(A),  8:降压变高压侧电流3Io(A)
1,-100000.000,83.593000,-34.141000,-57.339000,-4.504000,-0.156000,0.406000,-0.242000,-0.002000
2,-99900.000,82.426000,-31.278000,-59.269000,-4.605000,-0.181000,0.406000,-0.233000,-0.002000
3,-99800.000,81.127000,-28.509000,-61.120000,-4.847000,-0.199000,0.415000,-0.225000,-0.003000
4,-99700.000,79.780000,-25.755000,-62.894000,-5.049000,-0.190000,0.397000,-0.207000,-0.002000
5,-99600.000,78.520000,-22.971000,-64.512000,-5.103000,-0.181000,0.397000,-0.199000,-0.002000
6,-99500.000,77.282000,-20.264000,-66.122000,-5.197000,-0.190000,0.389000,-0.190000,-0.002000
7,-99400.000,76.068000,-17.642000,-67.724000,-5.298000,-0.173000,0.372000,-0.199000,-0.002000
8,-99300.000,74.862000,-15.169000,-69.342000,-5.508000,-0.164000,0.363000,-0.199000,0.000000
9,-99200.000,73.726000,-12.765000,-70.937000,-5.671000,-0.156000,0.363000,-0.190000,-0.002000
10,-99100.000,72.699000,-10.322000,-72.454000,-5.741000,-0.147000,0.328000,-0.199000,-0.002000
11,-99000.000,71.695000,-7.973000,-73.955000,-5.835000,-0.147000,0.337000,-0.181000,0.000000
12,-98900.000,70.714000,-5.678000,-75.457000,-5.920000,-0.138000,0.328000,-0.190000,-0.002000
13,-98800.000,69.672000,-3.438000,-76.974000,-6.115000,-0.147000,0.320000,-0.173000,-0.002000
14,-98700.000,68.613000,-1.182000,-78.460000,-6.278000,-0.147000,0.328000,-0.181000,-0.002000
15,-98600.000,67.547000,1.167000,-79.829000,-6.317000,-0.156000,0.328000,-0.173000,-0.003000
16,-98500.000,66.395000,3.508000,-81.167000,-6.402000,-0.164000,0.337000,-0.164000,-0.003000
17,-98400.000,65.166000,5.873000,-82.466000,-6.496000,-0.164000,0.337000,-0.155000,-0.003000
18,-98300.000,63.796000,8.261000,-83.749000,-6.659000,-0.199000,0.346000,-0.155000,0.002000
19,-98200.000,62.333000,10.727000,-84.963000,-6.784000,-0.207000,0.346000,-0.147000,0.000000
20,-98100.000,60.777000,13.270000,-86.052000,-6.830000,-0.225000,0.354000,-0.138000,-0.002000
21,-98000.000,59.127000,15.892000,-87.118000,-6.877000,-0.242000,0.354000,-0.130000,0.000000
22,-97900.000,57.322000,18.568000,-88.152000,-6.978000,-0.251000,0.389000,-0.121000,-0.002000
23,-97800.000,55.376000,21.290000,-89.148000,-7.103000,-0.259000,0.389000,-0.112000,-0.002000
24,-97700.000,53.322000,24.091000,-90.043000,-7.180000,-0.302000,0.406000,-0.112000,0.000000
25,-97600.000,51.182000,26.938000,-90.820000,-7.227000,-0.294000,0.389000,-0.086000,0.000000
26,-97500.000,48.894000,29.816000,-91.458000,-7.235000,-0.320000,0.397000,-0.078000,-0.003000
27,-97400.000,46.489000,32.686000,-91.995000,-7.289000,-0.337000,0.397000,-0.060000,-0.002000
28,-97300.000,43.929000,35.494000,-92.353000,-7.344000,-0.346000,0.372000,-0.026000,-0.002000
29,-97200.000,41.275000,38.264000,-92.477000,-7.359000,-0.363000,0.380000,-0.009000,0.000000
30,-97100.000,38.528000,40.971000,-92.407000,-7.313000,-0.389000,0.372000,0.009000,-0.002000
31,-97000.000,35.688000,43.553000,-92.158000,-7.328000,-0.397000,0.337000,0.043000,-0.003000
32,-96900.000,32.816000,46.011000,-91.692000,-7.305000,-0.397000,0.328000,0.060000,-0.002000
33,-96800.000,29.945000,48.368000,-91.007000,-7.219000,-0.397000,0.294000,0.095000,-0.002000
34,-96700.000,27.081000,50.554000,-90.190000,-7.118000,-0.389000,0.285000,0.104000,-0.002000
35,-96600.000,24.241000,52.592000,-89.288000,-7.071000,-0.397000,0.259000,0.112000,-0.002000
36,-96500.000,21.455000,54.443000,-88.331000,-7.040000,-0.380000,0.259000,0.138000,-0.002000
37,-96400.000,18.786000,56.217000,-87.265000,-6.955000,-0.371000,0.233000,0.130000,-0.002000
38,-96300.000,16.202000,57.920000,-86.184000,-6.830000,-0.354000,0.216000,0.138000,0.000000
39,-96200.000,13.751000,59.515000,-85.103000,-6.706000,-0.337000,0.207000,0.130000,0.000000
40,-96100.000,11.307000,61.016000,-84.107000,-6.682000,-0.337000,0.199000,0.138000,0.000000
41,-96000.000,8.949000,62.448000,-83.111000,-6.644000,-0.320000,0.199000,0.121000,-0.002000
42,-95900.000,6.692000,63.840000,-82.131000,-6.581000,-0.302000,0.181000,0.121000,-0.003000
43,-95800.000,4.521000,65.240000,-81.120000,-6.434000,-0.302000,0.190000,0.112000,0.000000
44,-95700.000,2.358000,66.617000,-80.124000,-6.317000,-0.302000,0.173000,0.130000,-0.002000
45,-95600.000,0.125000,67.900000,-79.136000,-6.301000,-0.311000,0.181000,0.121000,0.000000
46,-95500.000,-2.109000,69.145000,-78.117000,-6.255000,-0.311000,0.164000,0.130000,0.000000
47,-95400.000,-4.342000,70.421000,-76.974000,-6.185000,-0.320000,0.181000,0.138000,-0.002000
48,-95300.000,-6.615000,71.728000,-75.737000,-6.013000,-0.328000,0.181000,0.147000,-0.002000
49,-95200.000,-8.965000,73.003000,-74.399000,-5.858000,-0.337000,0.173000,0.155000,0.000000
50,-95100.000,-11.424000,74.201000,-73.030000,-5.811000,-0.346000,0.164000,0.173000,-0.002000
51,-95000.000,-13.961000,75.360000,-71.560000,-5.741000,-0.354000,0.156000,0.181000,-0.002000
52,-94900.000,-16.544000,76.574000,-69.973000,-5.632000,-0.363000,0.156000,0.199000,-0.002000
53,-94800.000,-19.144000,77.818000,-68.230000,-5.422000,-0.371000,0.164000,0.199000,-0.002000
54,-94700.000,-21.828000,79.032000,-66.418000,-5.228000,-0.389000,0.164000,0.207000,-0.003000
55,-94600.000,-24.645000,80.152000,-64.574000,-5.142000,-0.397000,0.164000,0.225000,-0.002000
56,-94500.000,-27.509000,81.264000,-62.637000,-5.025000,-0.397000,0.156000,0.233000,-0.002000
57,-94400.000,-30.388000,82.361000,-60.560000,-4.885000,-0.406000,0.147000,0.233000,0.000000
58,-94300.000,-33.237000,83.442000,-58.382000,-4.629000,-0.406000,0.138000,0.259000,-0.002000
59,-94200.000,-36.085000,84.399000,-56.087000,-4.403000,-0.389000,0.121000,0.276000,-0.002000
60,-94100.000,-38.972000,85.185000,-53.761000,-4.271000,-0.380000,0.095000,0.276000,-0.002000
61,-94000.000,-41.805000,85.830000,-51.334000,-4.139000,-0.380000,0.078000,0.294000,0.000000
62,-93900.000,-44.513000,86.344000,-48.751000,-3.921000,-0.363000,0.035000,0.311000,-0.005000
63,-93800.000,-47.073000,86.671000,-46.029000,-3.641000,-0.354000,0.017000,0.311000,0.000000
64,-93700.000,-49.532000,86.779000,-43.252000,-3.400000,-0.328000,-0.017000,0.320000,-0.003000
65,-93600.000,-51.890000,86.647000,-40.428000,-3.205000,-0.302000,-0.043000,0.328000,-0.002000
66,-93500.000,-54.077000,86.289000,-37.565000,-3.026000,-0.276000,-0.060000,0.345000,-0.002000
67,-93400.000,-56.053000,85.776000,-34.632000,-2.785000,-0.259000,-0.104000,0.337000,-0.002000
68,-93300.000,-57.859000,85.115000,-31.707000,-2.513000,-0.242000,-0.121000,0.345000,-0.002000
69,-93200.000,-59.532000,84.298000,-28.821000,-2.295000,-0.216000,-0.138000,0.345000,-0.002000
70,-93100.000,-61.065000,83.396000,-25.998000,-2.077000,-0.199000,-0.156000,0.337000,-0.002000
71,-93000.000,-62.504000,82.408000,-23.252000,-1.906000,-0.181000,-0.164000,0.337000,-0.002000
72,-92900.000,-63.812000,81.381000,-20.560000,-1.688000,-0.173000,-0.156000,0.328000,-0.003000
73,-92800.000,-65.041000,80.385000,-17.900000,-1.447000,-0.164000,-0.164000,0.320000,-0.003000
74,-92700.000,-66.232000,79.366000,-15.356000,-1.252000,-0.156000,-0.156000,0.302000,-0.003000
75,-92600.000,-67.391000,78.371000,-12.890000,-1.074000,-0.156000,-0.156000,0.302000,-0.003000
76,-92500.000,-68.504000,77.429000,-10.424000,-0.848000,-0.147000,-0.147000,0.294000,0.002000
77,-92400.000,-69.625000,76.480000,-7.989000,-0.653000,-0.156000,-0.138000,0.302000,-0.002000
78,-92300.000,-70.784000,75.500000,-5.593000,-0.490000,-0.156000,-0.138000,0.285000,-0.002000
79,-92200.000,-71.952000,74.551000,-3.182000,-0.319000,-0.173000,-0.147000,0.294000,-0.002000
80,-92100.000,-73.072000,73.602000,-0.677000,-0.093000,-0.164000,-0.147000,0.311000,-0.002000
81,-92000.000,-74.240000,72.622000,1.883000,0.140000,-0.156000,-0.156000,0.320000,0.000000
82,-91900.000,-75.430000,71.564000,4.496000,0.358000,-0.173000,-0.156000,0.320000,0.000000
83,-91800.000,-76.652000,70.436000,7.118000,0.506000,-0.164000,-0.173000,0.320000,-0.002000
84,-91700.000,-77.850000,69.246000,9.841000,0.700000,-0.173000,-0.173000,0.328000,-0.002000
85,-91600.000,-79.002000,68.017000,12.695000,0.988000,-0.164000,-0.173000,0.345000,-0.003000
86,-91500.000,-80.138000,66.703000,15.605000,1.237000,-0.156000,-0.199000,0.345000,-0.002000
87,-91400.000,-81.251000,65.302000,18.545000,1.470000,-0.156000,-0.207000,0.354000,-0.002000
88,-91300.000,-82.356000,63.762000,21.525000,1.665000,-0.156000,-0.225000,0.354000,0.000000
89,-91200.000,-83.422000,62.121000,24.551000,1.836000,-0.147000,-0.225000,0.380000,-0.002000
90,-91100.000,-84.341000,60.441000,27.693000,2.163000,-0.130000,-0.242000,0.371000,-0.002000
91,-91000.000,-85.197000,58.667000,30.805000,2.427000,-0.112000,-0.259000,0.363000,-0.003000
92,-90900.000,-85.905000,56.792000,33.886000,2.715000,-0.095000,-0.285000,0.371000,-0.002000
93,-90800.000,-86.535000,54.708000,36.888000,2.886000,-0.078000,-0.294000,0.363000,0.000000
94,-90700.000,-86.971000,52.491000,39.844000,3.057000,-0.035000,-0.302000,0.354000,-0.003000
95,-90600.000,-87.142000,50.243000,42.785000,3.353000,-0.009000,-0.337000,0.337000,0.000000
96,-90500.000,-87.095000,47.839000,45.609000,3.617000,0.026000,-0.346000,0.320000,-0.002000
97,-90400.000,-86.846000,45.303000,48.292000,3.866000,0.052000,-0.354000,0.302000,-0.002000
98,-90300.000,-86.411000,42.612000,50.789000,3.983000,0.095000,-0.380000,0.294000,-0.002000
