点号,相对时间(微秒),  1:010AUA(V),  2:010AUB(V),  3:010AUC(V),  4:010AU0(V),  5:010BIA(A),  6:010BIB(A),  7:010BIC(A),  8:010BI0(A)
1,-78624.000,-0.420000,-6.620000,4.440000,-0.860000,0.020000,-1.240000,1.190000,-0.010000
2,-78468.000,-0.110000,-6.790000,4.240000,-0.880000,0.100000,-1.270000,1.140000,-0.010000
3,-78312.000,0.210000,-6.960000,4.040000,-0.900000,0.170000,-1.320000,1.100000,-0.010000
4,-78156.000,0.550000,-7.080000,3.800000,-0.910000,0.250000,-1.350000,1.070000,-0.010000
5,-78000.000,0.880000,-7.150000,3.570000,-0.900000,0.330000,-1.400000,1.030000,-0.010000
6,-77844.000,1.180000,-7.190000,3.310000,-0.900000,0.400000,-1.440000,1.000000,-0.010000
7,-77688.000,1.480000,-7.180000,3.040000,-0.880000,0.470000,-1.470000,0.980000,0.000000
8,-77532.000,1.770000,-7.160000,2.740000,-0.880000,0.520000,-1.490000,0.940000,-0.010000
9,-77376.000,2.070000,-7.140000,2.460000,-0.870000,0.580000,-1.490000,0.890000,0.000000
10,-77220.000,2.370000,-7.110000,2.170000,-0.850000,0.620000,-1.500000,0.850000,-0.010000
11,-77064.000,2.610000,-7.080000,1.890000,-0.860000,0.680000,-1.500000,0.790000,-0.010000
12,-76908.000,2.860000,-7.040000,1.630000,-0.850000,0.740000,-1.510000,0.750000,0.000000
13,-76752.000,3.100000,-6.960000,1.370000,-0.830000,0.800000,-1.530000,0.710000,0.000000
14,-76596.000,3.360000,-6.900000,1.110000,-0.810000,0.860000,-1.550000,0.670000,0.000000
15,-76440.000,3.610000,-6.810000,0.820000,-0.790000,0.920000,-1.560000,0.630000,0.000000
16,-76284.000,3.840000,-6.700000,0.540000,-0.770000,0.960000,-1.570000,0.580000,-0.010000
17,-76128.000,4.090000,-6.580000,0.250000,-0.740000,1.020000,-1.540000,0.510000,0.000000
18,-75972.000,4.320000,-6.460000,-0.030000,-0.720000,1.070000,-1.510000,0.440000,0.000000
19,-75816.000,4.540000,-6.330000,-0.340000,-0.710000,1.120000,-1.480000,0.350000,0.000000
20,-75660.000,4.760000,-6.170000,-0.620000,-0.670000,1.160000,-1.440000,0.280000,0.000000
21,-75504.000,4.960000,-5.980000,-0.920000,-0.640000,1.200000,-1.390000,0.190000,0.000000
22,-75348.000,5.140000,-5.780000,-1.210000,-0.610000,1.230000,-1.330000,0.100000,0.000000
23,-75192.000,5.310000,-5.580000,-1.480000,-0.580000,1.260000,-1.270000,0.010000,0.000000
24,-75036.000,5.470000,-5.360000,-1.770000,-0.550000,1.290000,-1.220000,-0.060000,0.000000
25,-74880.000,5.640000,-5.120000,-2.070000,-0.510000,1.320000,-1.170000,-0.130000,0.000000
26,-74724.000,5.790000,-4.860000,-2.350000,-0.470000,1.360000,-1.120000,-0.220000,0.000000
27,-74568.000,5.890000,-4.600000,-2.610000,-0.440000,1.400000,-1.090000,-0.290000,0.000000
28,-74412.000,5.970000,-4.300000,-2.850000,-0.390000,1.450000,-1.060000,-0.360000,0.010000
29,-74256.000,6.020000,-3.970000,-3.090000,-0.340000,1.470000,-1.040000,-0.420000,0.000000
30,-74100.000,6.080000,-3.620000,-3.340000,-0.290000,1.500000,-0.990000,-0.470000,0.010000
31,-73944.000,6.120000,-3.280000,-3.590000,-0.250000,1.510000,-0.950000,-0.530000,0.010000
32,-73788.000,6.160000,-2.960000,-3.820000,-0.200000,1.520000,-0.890000,-0.600000,0.010000
33,-73632.000,6.180000,-2.660000,-4.020000,-0.160000,1.530000,-0.830000,-0.670000,0.010000
34,-73476.000,6.180000,-2.340000,-4.220000,-0.120000,1.550000,-0.780000,-0.730000,0.010000
35,-73320.000,6.170000,-2.020000,-4.430000,-0.090000,1.560000,-0.740000,-0.780000,0.010000
36,-73164.000,6.180000,-1.680000,-4.640000,-0.040000,1.580000,-0.690000,-0.850000,0.010000
37,-73008.000,6.160000,-1.340000,-4.820000,0.000000,1.560000,-0.640000,-0.880000,0.010000
38,-72852.000,6.120000,-1.010000,-5.000000,0.030000,1.560000,-0.570000,-0.940000,0.010000
39,-72696.000,6.070000,-0.680000,-5.160000,0.070000,1.530000,-0.510000,-0.990000,0.010000
40,-72540.000,6.000000,-0.340000,-5.300000,0.120000,1.490000,-0.430000,-1.030000,0.010000
41,-72384.000,5.920000,0.000000,-5.440000,0.160000,1.440000,-0.340000,-1.060000,0.010000
42,-72228.000,5.820000,0.340000,-5.560000,0.200000,1.380000,-0.240000,-1.090000,0.010000
43,-72072.000,5.730000,0.710000,-5.680000,0.250000,1.310000,-0.140000,-1.130000,0.010000
44,-71916.000,5.600000,1.050000,-5.780000,0.290000,1.230000,-0.040000,-1.160000,0.010000
45,-71760.000,5.450000,1.410000,-5.850000,0.330000,1.180000,0.050000,-1.190000,0.010000
46,-71604.000,5.310000,1.770000,-5.930000,0.380000,1.120000,0.130000,-1.220000,0.010000
47,-71448.000,5.140000,2.140000,-6.000000,0.420000,1.070000,0.230000,-1.270000,0.010000
48,-71292.000,4.950000,2.480000,-6.030000,0.460000,1.020000,0.300000,-1.300000,0.000000
49,-71136.000,4.740000,2.820000,-6.020000,0.510000,0.990000,0.380000,-1.330000,0.010000
50,-70980.000,4.510000,3.120000,-5.990000,0.540000,0.940000,0.440000,-1.350000,0.010000
51,-70824.000,4.260000,3.460000,-5.970000,0.580000,0.900000,0.500000,-1.370000,0.010000
52,-70668.000,4.020000,3.780000,-5.920000,0.620000,0.860000,0.560000,-1.380000,0.010000
53,-70512.000,3.750000,4.060000,-5.870000,0.640000,0.810000,0.630000,-1.410000,0.010000
54,-70356.000,3.510000,4.350000,-5.790000,0.690000,0.750000,0.700000,-1.420000,0.010000
55,-70200.000,3.250000,4.610000,-5.730000,0.710000,0.710000,0.760000,-1.440000,0.010000
56,-70044.000,3.000000,4.850000,-5.640000,0.730000,0.670000,0.820000,-1.450000,0.010000
57,-69888.000,2.740000,5.110000,-5.560000,0.760000,0.620000,0.880000,-1.470000,0.010000
58,-69732.000,2.480000,5.320000,-5.470000,0.770000,0.580000,0.950000,-1.470000,0.020000
59,-69576.000,2.200000,5.550000,-5.360000,0.790000,0.520000,1.000000,-1.480000,0.010000
60,-69420.000,1.920000,5.760000,-5.240000,0.810000,0.460000,1.050000,-1.480000,0.010000
61,-69264.000,1.620000,5.980000,-5.100000,0.830000,0.370000,1.100000,-1.440000,0.010000
62,-69108.000,1.310000,6.190000,-4.960000,0.840000,0.290000,1.150000,-1.400000,0.010000
63,-68952.000,1.010000,6.380000,-4.800000,0.860000,0.190000,1.200000,-1.350000,0.010000
64,-68796.000,0.700000,6.540000,-4.620000,0.870000,0.090000,1.230000,-1.290000,0.010000
65,-68640.000,0.420000,6.680000,-4.440000,0.880000,-0.010000,1.270000,-1.220000,0.010000
66,-68484.000,0.120000,6.800000,-4.260000,0.880000,-0.100000,1.300000,-1.170000,0.010000
